Campaign status,Campaign,Budget,Budget name,Budget type,Status,Status reasons,Optimization score,Campaign type,Currency code,TrueView avg. CPV,Avg. CPM,Interactions,Interaction rate,Avg. cost,Cost,Conv. (Platform Comparable),Cost / Conv. (Platform Comparable),Conv. value / Cost (Platform Comparable),Revenue,CTR,Avg. CPC,Campaign ID,All conv.,Unique users,Engagements,Target ROAS,TrueView views,TrueView view rate (In-stream),TrueView view rate (In-feed),TrueView view rate (Shorts),Video played to 25%,Video played to 50%,Video played to 75%,Video played to 100%,ROAS,Impr.,Clicks,Earned views,Viewable rate,Orders,Purchase value,Conv. rate,Bid strategy type,Viewable CTR,Avg. viewable CPM,Viewable impr.,Participated in-app actions,Conv. value,Conv. value / cost,Conversions,Cost / Participated in-app action,Cost / conv.,Original conv. value,month_start,source_file
Paused,Dog Leashes & Tags,800.00, --,Daily,Paused,campaign paused; All ad groups paused; unknown, --,Search,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,325711376,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,CPC (enhanced), --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,Local_store_Sec-9_CH,751.00, --,Daily,Paused,campaign paused, --,Smart,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,17468382441,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize clicks, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,Cat Litter,200.00, --,Daily,Paused,campaign paused, --,Smart,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,2065177591,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize clicks, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,PMax: Dog Toy August 17,200.00, --,Daily,Paused,campaign paused; unknown, --,Performance Max,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,17689853644,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize Conversion Value, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,Retail- Dog Food Home Delivery-2,50.00, --,Daily,Paused,campaign paused, --,Smart,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,10011093306,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize clicks, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Enabled,Shopping_Catch_All,40000.00, --,Daily,Eligible (Limited),limited by budget; unknown,77.77,Shopping,INR,0.0,188.53,"68,098",1.57%,12.0,816882.83,0.0,0,0.0,3950444.01,1.57%,12.0,1342750688,"494,986.38",,0,250%,0, --, --, --, --, --, --, --,0.61,"4,332,949","68,098",0, --,"1,886.38",0.0,3.90%,Target ROAS, --,0.0,0,385.0,"5,746,111.00",7.03,"2,654.10",2121.77,307.78,"5,746,111.00",2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,Search_Dog_Food_Orijen,5600.00, --,Daily,Paused,campaign paused; some ads disapproved, --,Search,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,15254369713,0.00,,0,250%,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize Conversion Value (Target ROAS), --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,Old camp-Dog Food,1000.00, --,Daily,Paused,campaign paused; unknown, --,Search,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,236597696,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,CPC (enhanced), --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,Dog Food - Search 12 -16,750.00, --,Daily,Paused,campaign paused, --,Search,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,1725678930,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize Conversions, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,Search_Local Ads_ Store promotion_Patna,1000.00, --,Daily,Paused,campaign paused; unknown, --,Search,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,22969661444,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximize Conversion Value, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,Dog Clothing - Shopping Sweaters,400.00, --,Daily,Paused,campaign paused; unknown, --,Shopping,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,1602854101,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Enhanced CPC, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
Paused,YT-Boost-LearnWithHUFT-Collars,5000.00, --,Campaign Total,Paused,campaign paused; campaign ended; unknown, --,Video,INR,0.0,0.0,0, --,0.0,0.0,0.0,0,0.0,0.0, --,0.0,17061854789,0.00,,0, --,0, --, --, --, --, --, --, --,0.0,0,0,0, --,0.00,0.0,0.00%,Maximum CPV, --,0.0,0,0.0,0.00,0.0,0.00,0.0,0.0,0.00,2026-01,dashboard_data/Google Dashboard /Google dashboard_ Jan 2026.csv
