Order UTM campaign,Order UTM content,Order UTM medium,Orders,Gross sales,Discounts,Returns,Net sales,Shipping charges,Duties,Additional fees,Taxes,Total sales,month_start,source_file
DTC_Sara.Treats_Conv_May'24,DTC_SaraTreats_Video_Winter-SuperFoods_Dec05,DTC_SaraTreats_TopStates,12,11774.21,-1026.2,0,10748.01,343,0,0,356.06,11447.07,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_NutriMeow_Conv,DTC_NutriMeow_Video_USP+Varinats_Dec08,DTC_NutriMeow_Cat,12,7585.17,-334.23,0,7250.94,294,0,0,19.83,7564.77,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
Hearty_Kibble,Hearty_Kibble_IG_FB,Social,11,22599.47,-714.95,0,21884.52,98,0,0,775.63,22758.15,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_Winter'25_Conv,DTC_Winter'25_Static_CosiestComfiestPetBeds_Nov03,DTC_Winter'25_Lifestyle,11,28208.36,-1237.45,0,26970.91,49,0,0,195.44,27215.35,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_Winter'25_Conv,DTC_Winter'25_Static_Jackets-out&about_Dec09,DTC_Winter'25_LifestyleCustomer,10,17979.55,-1148.16,0,16831.39,49,0,0,511.06,17391.45,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_SWF_Conv,DTC_SWF_Video_PackedForLongerLife_Nov4,DTC_SWF_IG-LA2,8,1402.15,0.0,0,1402.15,392,0,0,23.45,1817.6,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_SWF_Conv,DTC_SWF_Video_SonalikaTestimonial_Oct30,DTC_SWF_IndiaDogProducts,7,30882.33,-2320.47,0,28561.86,0,0,0,138.68,28700.54,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_Bed&MatOld _Manual,DTC_Beds&Mats_Video_RoyalSnooze_Dec15,DTC_Bed&Mats_Conv_DogSummer,7,14254.1,-1067.68,0,13186.42,0,0,0,0.0,13186.42,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_SWF_Conv,DTC_SWF_Video_ReviewThatMatters_Dec26,DTC_SWF_Conv_478cities,7,18649.69,-2355.76,0,16293.93,49,0,0,184.45,16527.38,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
DTC_SWF_Conv,DTC_SWF_videogharkakhanafordogs?_aug21,DTC_SWF_IG-LA2,6,3467.37,-137.61,0,3329.76,245,0,0,251.85,3826.61,2025-12,dashboard_data/SWF-MetaXShopifyDashboard/Meta Shopify Report with adset data - Dec_25.csv
