Order UTM medium,Order UTM campaign,Orders,Total sales,Gross sales,Net sales,Average order value,Orders (previous_period),Total sales (previous_period),Gross sales (previous_period),Net sales (previous_period),Average order value (previous_period),Orders (previous_period) ,Total sales (previous_period) ,Gross sales (previous_period) ,Net sales (previous_period) ,Average order value (previous_period) ,month_start,source_file,Orders (previous_month),Total sales (previous_month),Gross sales (previous_month),Net sales (previous_month),Average order value (previous_month),Orders (previous_month) ,Total sales (previous_month) ,Gross sales (previous_month) ,Net sales (previous_month) ,Average order value (previous_month) 
Search,Search_Dog_Collar-Leash-Harness,17,23243.73,22848.63,22510.17,1324.127,33.0,49242.73,48243.18,47067.12,1426.276,-48.48484848484848,-52.797,-52.638,-52.174,-7.161,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
PMax,Pmax_All_Toys,20,19730.77,18201.59,18043.01,902.15,74.0,135994.67,135460.36,131265.79,1773.862,-72.97297297297297,-85.491,-86.563,-86.254,-49.142,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
PMax,Pmax_Cat_Treats_Other,18,19523.75,19424.21,18758.75,1042.152,10.0,13437.83,13217.58,13162.53,1316.253,80.0,45.289,46.957,42.516,-20.824,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
PMax,Pmax_Hearty_Dog_Food,6,8804.55,8867.77,8565.21,1427.535,4.0,11482.8,11627.76,11314.36,2828.59,50.0,-23.324,-23.736,-24.297,-49.531,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
Search,Search_Dog_Toys,10,8381.74,8041.89,7899.13,789.913,13.0,22475.8,22199.51,21448.2,1649.861,-23.076923076923077,-62.707,-63.774,-63.171,-52.122,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
,,1,7499.0,7499.0,7499.0,7499.0,0.0,0.0,0.0,0.0,,,,,,,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
Pmax_HUFT_Treats_and_Biscuits,PMax_HUFT_Treat_Biscuits,1,4772.92,4256.7,4044.85,4044.85,1.0,2427.3,2057.03,2057.03,2057.03,0.0,96.634,106.934,96.635,96.635,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
PMax,Pmax_Cat_Food,1,4550.0,3961.86,3855.93,3855.93,0.0,0.0,0.0,0.0,,,,,,,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
PMax,Pmax_Dog_Food_Hearty,1,2912.4,2809.54,2671.93,2671.93,0.0,0.0,0.0,0.0,,,,,,,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
PMax,PMax_Dog_Food_Cat_Food_Royal_Canin,2,1106.34,1149.81,1057.34,528.67,77.0,217067.6,222544.83,215196.91,2794.765,-97.4025974025974,-99.49,-99.483,-99.508,-81.083,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
PMax,PMax_Cat_Food_Others,0,0.0,0.0,0.0,,20.0,41672.35,41997.14,40978.69,2048.934,-100.0,-100.0,-100.0,-100.0,,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
Search,Search_Dog_Food_Generic,0,0.0,0.0,0.0,,31.0,99141.65,99686.13,97358.82,3140.607,-100.0,-100.0,-100.0,-100.0,,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
Search,Search_Hearty_Dog_Food,0,0.0,0.0,0.0,,66.0,199024.55,201149.84,194264.72,2943.404,-100.0,-100.0,-100.0,-100.0,,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
PMax_Master_Catalog_Healthcare,Pmax_Master_Catalog_Healthcare,0,0.0,0.0,0.0,,1.0,882.0,882.0,882.0,882.0,-100.0,-100.0,-100.0,-100.0,,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
Search,Search_Cat_Food_Generic,0,0.0,0.0,0.0,,33.0,61577.1,60789.57,59314.23,1797.4,-100.0,-100.0,-100.0,-100.0,,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
PMax,Pmax_cat_Treats,0,0.0,0.0,0.0,,11.0,9118.38,8965.6,8698.92,790.81,-100.0,-100.0,-100.0,-100.0,,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
Search,Search_Cat_Food_Whiskas,0,0.0,0.0,0.0,,26.0,52918.15,55313.59,52259.37,2009.975,-100.0,-100.0,-100.0,-100.0,,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
PMax,Pmax_Dog_Grooming,0,0.0,0.0,0.0,,59.0,73824.16,72063.38,70354.36,1192.446,-100.0,-100.0,-100.0,-100.0,,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
PMax,PMax_HUFT_Treat_Biscuits,0,0.0,0.0,0.0,,54.0,74875.84,74614.22,72595.17,1344.355,-100.0,-100.0,-100.0,-100.0,,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
Search,Search_Dog_Treats_Biscuit,0,0.0,0.0,0.0,,53.0,88625.84,87284.81,85245.47,1608.405,-100.0,-100.0,-100.0,-100.0,,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
PMax,Pmax_Cat_Food_Sheba_Whiskas,0,0.0,0.0,0.0,,112.0,184684.04,180829.82,175683.92,1568.606,-100.0,-100.0,-100.0,-100.0,,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
Search,Search_Cat_Food_Sheba,0,0.0,0.0,0.0,,23.0,56835.45,58245.73,55661.71,2420.074,-100.0,-100.0,-100.0,-100.0,,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
Search,Search__Farmina_Dog_Food_Cat_Food,0,0.0,0.0,0.0,,27.0,110382.31,113988.62,109872.62,4069.356,-100.0,-100.0,-100.0,-100.0,,2025-12,dashboard_data/Google Shopify Dashboard/Google Ads_Shopify_Dec 2025.csv,,,,,,,,,,
