"Reporting starts","Reporting ends","Campaign name","Campaign delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (INR)",Ends,Impressions,"CPM (cost per 1,000 impressions) (INR)","Link clicks","CPC (cost per link click) (INR)","CTR (link click-through rate)","CTR (all)","CPC (all) (INR)","Clicks (all)","Purchase ROAS (return on ad spend)","Website purchase ROAS (return on advertising spend)","In-app purchase ROAS (return on ad spend)"
2026-01-01,2026-01-31,DTC_Winter_Wonder_Sale_TOFU_LPV,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_MOFU_Brand_LPV,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,"DTC Nature's Hug Conversion - Jan'23_CC",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Tofu_Brand_CatalogSales_Brand,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Conversions_Tofu_Prospecting_Dog_Category_19Feb22,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Conversions_Tofu_KONG_Wobbler_19Feb22,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_BrandVideo_Remarketing_ATC_Conversions_22,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_CC_YK_Conversions_22,inactive,-,,,0,0,,3000,Daily,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,"Sales Strategy_DTC_Ad_Strategies_HC_LB_2_May_2022_Customers",inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
2026-01-01,2026-01-31,DTC_Dog_All_Category_Conversions_May22,inactive,-,,,0,0,,"Using ad set budget",0,0,Ongoing,0,0,,,,0,0,0,,,
